State,County,Website,Population,Coordinates,Wikidata ID
Texas,Travis County,http://www.traviscountytx.gov,1120954,Point(-97.78 30.33),Q110426
Texas,Collin County,http://www.co.collin.tx.us/,854778,Point(-96.58 33.18),Q111174
Texas,Collin County,http://www.co.collin.tx.us/,854778,Point(-96.58 33.18),Q111174
Texas,El Paso County,http://www.epcounty.com,827718,Point(-106.24 31.77),Q108494
Texas,Hidalgo County,http://www.co.hidalgo.tx.us/,815996,Point(-98.18 26.4),Q26519
Texas,Denton County,http://www.co.denton.tx.us/,728799,Point(-97.12 33.2),Q109265
Texas,Denton County,http://www.co.denton.tx.us/,728799,Point(-97.12 33.2),Q109265
Texas,Fort Bend County,http://www.co.fort-bend.tx.us/,652365,Point(-95.77 29.53),Q26895
Texas,Montgomery County,http://www.co.montgomery.tx.us/,499137,Point(-95.5 30.3),Q26756
Texas,Williamson County,http://wilco.org,471014,Point(-97.5839 30.655511111),Q112686
Texas,Cameron County,http://www.co.cameron.tx.us,417276,Point(-97.45 26.15),Q27051
Texas,Nueces County,http://www.co.nueces.tx.us,352107,Point(-97.52 27.74),Q483893
Texas,Brazoria County,http://www.brazoria-county.com,330242,Point(-95.44 29.17),Q27034
Texas,Bell County,http://www.bellcountytx.com/,326843,Point(-97.48 31.04),Q108428
Texas,Galveston County,http://www.co.galveston.tx.us/,306782,Point(-94.86 29.38),Q26587
Texas,Lubbock County,http://www.co.lubbock.tx.us,289324,Point(-101.82 33.61),Q111790
Texas,Webb County,http://webbcounty.com,262495,Point(-99.33 27.77),Q484183
Texas,Jefferson County,http://www.co.jefferson.tx.us,252358,Point(-94.14 29.86),Q156471
Texas,McLennan County,http://www.co.mclennan.tx.us,241481,Point(-97.2 31.55),Q111368
Texas,Smith County,http://www.smith-county.com,216080,Point(-95.27 32.38),Q156278
Texas,Brazos County,http://www.brazoscountytx.org,203164,Point(-96.3 30.66),Q26601
Texas,Hays County,http://co.hays.tx.us,176026,Point(-98.03 30.06),Q27018
Texas,Ellis County,http://www.co.ellis.tx.us/,155976,Point(-96.79 32.35),Q110130
Texas,Johnson County,http://www.johnsoncountytx.org/,154707,Point(-97.36 32.38),Q113843
Texas,Midland County,http://www.co.midland.tx.us,151468,Point(-102.02 31.89),Q483937
Texas,Ector County,http://www.co.ector.tx.us,149378,Point(-102.54 31.87),Q109810
Texas,Guadalupe County,http://www.co.guadalupe.tx.us,143183,Point(-97.95 29.58),Q26610
Texas,Taylor County,http://www.taylorcountytexas.org,134117,Point(-99.88 32.31),Q490287
Texas,Wichita County,http://www.co.wichita.tx.us/,132047,Point(-98.71 33.99),Q115433
Texas,Randall County,http://www.randallcounty.org,126474,Point(-101.9 34.97),Q112086
Texas,Gregg County,http://www.co.gregg.tx.us/,123024,Point(-94.81 32.48),Q109275
Texas,Grayson County,http://www.co.grayson.tx.us/,122353,Point(-96.68 33.62),Q109457
